City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kavieng,-2.5744,150.7967,82.11,75,100,8.12,PG,1648022672
Ushuaia,-54.8,-68.3,37.06,98,90,5.08,AR,1648022585
Jalu,29.0331,21.5482,53.78,42,0,12.5,LY,1648022673
Ribeira Grande,38.5167,-28.7,61.2,63,75,6.91,PT,1648022674
Teya,60.3778,92.6267,26.29,71,100,7.61,RU,1648022675
Nānākuli,21.3906,-158.1547,75.7,73,100,6.91,US,1648022676
Dikson,73.5069,80.5464,15.13,89,100,16.58,RU,1648022090
Provideniya,64.3833,-173.3,11.55,81,33,7.49,RU,1648022677
Morondava,-20.2833,44.2833,82.99,71,99,4.83,MG,1648022678
Hamina,60.5697,27.1979,31.28,88,15,4.63,FI,1648022678
Albany,42.6001,-73.9662,29.73,66,35,1.43,US,1648022679
Bredasdorp,-34.5322,20.0403,74.16,71,98,10.38,ZA,1648022497
Ouro Preto do Oeste,-10.7481,-62.2158,72.01,98,100,2.59,BR,1648022680
Nikolskoye,59.7035,30.7861,41.88,73,78,6.96,RU,1648022681
Shihezi,44.3,86.0333,35.29,99,100,2.04,CN,1648022682
Mahébourg,-20.4081,57.7,86.29,70,40,11.5,MU,1648022163
Muhafazat Lahij,13.1667,44.5833,84.31,46,57,8.61,YE,1648022683
Chālūs,36.655,51.4204,43.52,92,96,4.5,IR,1648022684
La Reforma,18.1,-91.0167,71.85,84,0,7.9,MX,1648022684
Bridgetown,13.1,-59.6167,73.89,83,40,19.57,BB,1648022400
Pevek,69.7008,170.3133,20.8,79,86,15.5,RU,1648022686
Hasaki,35.7333,140.8333,45.28,56,100,13.15,JP,1648022132
Khatanga,71.9667,102.5,5.99,89,100,4.74,RU,1648022688
Tuktoyaktuk,69.4541,-133.0374,-15.99,97,47,11.77,CA,1648022689
Punta Arenas,-53.15,-70.9167,39.11,64,2,19.28,CL,1648022425
Narón,43.5167,-8.1528,55.04,92,100,4.79,ES,1648022690
Machalí,-34.1833,-70.6667,54.1,64,40,0.6,CL,1648022691
Örnsköldsvik,63.2909,18.7153,40.15,75,0,12.66,SE,1648022692
Cape Coast,5.1053,-1.2466,82.76,78,100,10.04,GH,1648022452
Faanui,-16.4833,-151.75,81.5,73,100,12.1,PF,1648022693
Kapaa,22.0752,-159.319,71.58,88,40,18.41,US,1648022620
Måløy,61.9353,5.1136,42.53,63,30,16.62,NO,1648022694
Abapó,-18.8333,-63.4667,61.83,94,36,1.41,BO,1648022695
Itaituba,-4.2761,-55.9836,72.39,99,77,1.95,BR,1648022206
Marsá Maţrūḩ,31.3525,27.2453,54.5,61,40,23.64,EG,1648022696
Rikitea,-23.1203,-134.9692,78.91,74,100,10.36,PF,1648022697
Avarua,-21.2078,-159.775,78.85,89,40,4.61,CK,1648022698
Pokosnoye,55.5258,101.0536,27.97,87,100,5.53,RU,1648022699
Pacifica,37.6138,-122.4869,60.26,90,20,12.66,US,1648022700
Iqaluit,63.7506,-68.5145,-11.31,76,75,2.3,CA,1648022222
Dārāb,28.7519,54.5444,78.46,12,0,3.83,IR,1648022701
Bluff,-46.6,168.3333,60.91,88,53,7.0,NZ,1648022470
Hilo,19.7297,-155.09,73.26,88,75,0.0,US,1648022702
Mora,11.0461,14.1401,87.1,12,100,5.88,CM,1648022703
San Ramon,37.7799,-121.978,62.53,74,0,5.75,US,1648022704
Puerto Ayora,-0.7393,-90.3518,76.55,97,91,6.44,EC,1648022478
